"","gene","MinExpr","MaxExpr","SD_logRPKM","Mean_logRPKM","Median_logRPKM","Q.25_logRPKM","Q.75_logRPKM","IQR_logRPKM","ShannonIndex","Kurtosis","Skewness","ZeroExpr_proportion","residual.SD_logRPKM","LOESS.fit","TP"
"Rv0011c","Rv0011c",5.92832296704455,13.508000427314,0.883356709835476,9.02537679473359,9.03546914416204,8.50096200634174,9.43946174751576,0.938499741174018,6.79099922943088,6.16176831220587,0.76848031352783,0,-0.0566655075885695,0.940022217424045,0.897047424043532
"Rv0012","Rv0012",6.16924289228299,9.74966706458186,0.399575262240099,7.69718030624423,7.67297505471564,7.48028063558565,7.87224051446147,0.391959878875817,6.79436480030702,5.64490805108409,0.355953195530889,0,-0.484122304417982,0.883697566658082,0.469590627214119
"Rv0013","Rv0013",5.01788615833728,9.9614754139858,0.676231460962461,7.59896079011137,7.75724823013334,7.25670653534547,8.005968235883,0.749261700537527,6.79166124333443,4.40075364600218,-0.551952972442948,0,-0.2046883952125,0.88091985617496,0.749024536419602
"Rv0014c","Rv0014c",4.19903090459084,9.31583922664833,0.798368129911096,7.5500936339669,7.71883998685783,7.14196962271792,8.12600770778235,0.984038085064427,6.7898587540854,4.3738029727406,-1.05578074258667,0,-0.0812811677975318,0.879649297708628,0.87243176383457
"Rv0015c","Rv0015c",4.58564728054264,10.3325962738537,0.757698859499878,7.89401743201441,7.86048680166729,7.43344365132043,8.44604480427122,1.01260115295079,6.79100324863478,4.24495691616958,-0.457680575360524,0,-0.131959878446724,0.889658737946601,0.821753053185378
"Rv0016c","Rv0016c",5.64150883379872,10.0580227255588,0.612243485841171,7.77689173582709,7.89267590679978,7.49070404805988,8.16938774281169,0.678683694751814,6.79253677309199,4.2348547591382,-0.726524510893262,0,-0.273829138940143,0.886072624781313,0.679883792691959
"Rv0017c","Rv0017c",4.75978612802905,9.88148849557984,0.780367496737225,7.31112744409862,7.40576125449567,6.86896928014469,7.81283059697097,0.943861316826283,6.78989049023077,3.38808662564628,-0.423896986317047,0,-0.0949532473034823,0.875320744040707,0.858759684328619
"Rv0018c","Rv0018c",5.57921143329328,9.97721968619567,0.530575563679396,7.97213374313209,7.9815296980846,7.71485483996839,8.26098145690304,0.546126616934647,6.79348196344082,4.90340049345788,-0.0682950616963633,0,-0.361858407373258,0.892433971052654,0.591854524258844
"Rv0019c","Rv0019c",7.18866573738236,10.5330833488105,0.470832384591995,9.03198723998281,9.0152655170549,8.73547746630504,9.354420096904,0.618942630598966,6.79434213544659,4.00328331202693,-0.164722427044071,0,-0.469499102898262,0.940331487490256,0.48421382873384
"Rv0020c","Rv0020c",6.83305072965877,12.1961518498953,0.557679416329433,9.81016789899104,9.82399791594415,9.45093631540826,10.2135760106099,0.762639695201678,6.7940567229973,7.26848202556606,-0.910884503775409,0,-0.422117735183298,0.979797151512731,0.531595196448804
"Rv0021c","Rv0021c",2.9815372836349,10.6754577882808,0.778970530249877,5.95237802267089,5.81145495299932,5.47030102393264,6.38968116794645,0.919380144013807,6.78751684152008,10.4257815785325,1.48926180066508,0,-0.153907077280507,0.932877607530384,0.799805854351594
"Rv0022c","Rv0022c",0,11.6636574481495,1.23585028666181,3.04702302684855,2.95844398650058,2.54791588154336,3.34592724002285,0.798011358479489,6.71456351555892,17.9181915973307,2.36675875395218,0.0257270693512304,-0.0389479278343616,1.27479821449617,0.91476500379774
"Rv0023","Rv0023",2.71852925020212,8.71652702367613,0.752425248532611,6.00889256744907,6.03913496260726,5.59551677788338,6.49298035783057,0.897463579947196,6.78760279197031,4.91926307121265,-0.466706761098271,0,-0.175531350503909,0.92795659903652,0.778181581128192
"Rv0024","Rv0024",0,8.03718140577386,0.695092920798097,5.95321613565078,5.96575168915897,5.61635283996226,6.37150337206488,0.755150532102626,6.78816278952478,9.91464260557291,-1.10053367120416,0.00111856823266219,-0.237710899310586,0.932803820108682,0.716002032321516
"Rv0025","Rv0025",4.14813949398064,8.74411466214651,0.700995831999831,6.82467712506022,6.93751468076342,6.38620258348698,7.36532420575505,0.979121622268072,6.79029860374056,3.12293115096637,-0.585722091694258,0,-0.178206529393714,0.879202361393545,0.775506402238388
"Rv0026","Rv0026",4.45203041512591,8.16847098180567,0.566360646348332,6.2423607452149,6.27434396419165,5.86553912267088,6.67828208556309,0.812742962892214,6.79153567672604,2.8644343448436,-0.336233698845794,0,-0.342872928937991,0.909233575286323,0.610840002694111
"Rv0027","Rv0027",2.61546982915826,9.21779768640977,0.654260661069773,6.52761270506328,6.48067018189245,6.20638862910475,6.86014765647268,0.653759027367928,6.79064279245261,5.69785610691272,0.0535003881601506,0,-0.237261853977766,0.89152251504754,0.716451077654335
"Rv0028","Rv0028",0,9.35441027830552,0.905052582353075,6.17979291724597,6.03757477978588,5.63242492610614,6.90127949980926,1.26885457370312,6.78443221420543,5.1369467983745,-0.164304686909276,0.00111856823266219,-0.00889114982567074,0.913943732178746,0.944821781806431
"Rv0029","Rv0029",4.92191689011867,9.7851517375825,0.518784526089444,6.79864622331393,6.80935358158248,6.46132322897935,7.05327134374126,0.591948114761909,6.79285212536759,8.15516687784072,1.01290242485909,0,-0.361210061188828,0.879994587278272,0.592502870443274
"Rv0030","Rv0030",3.34511425792511,9.49862574749051,0.669615193313904,6.93500057017836,6.95646121827574,6.58603647481516,7.32387444115825,0.737837966343091,6.79092814490991,5.32221152250601,-0.507962019130639,0,-0.207043409113927,0.876658602427831,0.746669522518174
"Rv0032","Rv0032",2.3173208114737,9.3944206949159,0.959210804307465,4.76121644229905,4.66167447607293,4.10480889766166,5.22038904339064,1.11558014572897,6.77604022507979,4.02353132179478,0.7872563606346,0,-0.108230059405774,1.06744086371324,0.845482872226328
"Rv0033","Rv0033",0,9.70320123487685,1.49088392108663,4.25751783134362,4.28396278424947,3.32142295163513,5.14182070076083,1.82039774912569,6.72125081345347,3.88749616183687,-0.230607892491245,0.0279642058165548,0.36386716503779,1.12701675604884,1.31758009666989
"Rv0034","Rv0034",0,7.33164788419394,1.17628653470565,4.02005962263502,4.00024626183834,3.29284547411455,4.86676406981101,1.57391859569647,6.74282477153806,4.41081722291973,-0.592268069424121,0.0190156599552573,0.0206945920894186,1.15559194261623,0.97440752372152
"Rv0035","Rv0035",0,9.10757947632638,1.21846960457999,4.96278209509852,4.9553498109307,4.0567527853085,6.02072743275508,1.96397464744658,6.76396984003731,2.60776191701593,-0.17880373523212,0.00111856823266219,0.175259393593951,1.04321021098604,1.12897232522605
"Rv0036c","Rv0036c",2.97546369956824,9.38120237075078,0.617462146096167,7.53934099816861,7.5924896472363,7.2993510763118,7.86137196000502,0.562020883693214,6.79208122916716,14.0207677217243,-2.18438351541954,0,-0.261920637323095,0.879382783419263,0.691792294309006
"Rv0037c","Rv0037c",3.45889376319631,8.67272164965684,0.559394874419281,6.51470302089072,6.49974873011196,6.20058476544155,6.82287791242044,0.622293146978894,6.79196249711744,6.46697630016566,-0.261319582318639,0,-0.332799679184091,0.892194553603372,0.620913252448011
"Rv0038","Rv0038",6.41614449400134,10.0258776154743,0.540962470704759,8.222209357024,8.23052611935274,7.87061513554975,8.55738499792848,0.686769862378728,6.79354406682917,3.52287129272488,0.119939378766614,0,-0.3622247025427,0.903187173247459,0.591488229089402
"Rv0039c","Rv0039c",1.82571184421318,9.9088343915907,1.21664740392597,7.21531296874653,7.3589620189992,6.62103003212813,7.98870397172714,1.367673939599,6.78045031206517,4.43160858537397,-0.801195697158797,0,0.34183379541133,0.874813608514643,1.29554672704343
"Rv0040c","Rv0040c",4.91449182167545,10.9851712083641,1.17428081752709,8.30424656794201,8.46423721633887,7.40623083056763,9.15941943850717,1.75318860793954,6.7855100192074,2.43491148586636,-0.25676512692642,0,0.267194949385251,0.907085868141844,1.22090788101735
"Rv0041","Rv0041",5.32469260711004,10.1796918651216,0.52692890970327,7.05114520907947,7.06401818239424,6.78228400525093,7.31285282936985,0.530568824118921,6.79292648416192,5.40060338635318,0.32973484657419,0,-0.34828464067792,0.87521355038119,0.605428290954182
"Rv0042c","Rv0042c",4.14029970502246,11.6502563000581,0.914492853298879,7.87131272123662,8.14486417745423,7.62550920328919,8.42042314410838,0.794913940819193,6.78849520263563,5.8241048661179,-1.38050333052353,0,0.0255707077119608,0.888922145586918,0.979283639344062
"Rv0043c","Rv0043c",4.13336738166621,9.54302747236797,0.647092994214939,6.87043376654964,6.87592839853531,6.5022790909192,7.17571543331535,0.673436342396156,6.79124192853802,4.93352863704598,-0.000782481657567812,0,-0.230900581943923,0.877993576158862,0.722812349688179
"Rv0044c","Rv0044c",3.68864316835519,8.89277641723542,0.530007404752743,6.39754984762688,6.37705248965735,6.09727783886858,6.66213528218641,0.56485744331783,6.7922763241966,6.52067688846682,0.260324518388146,0,-0.36883052892661,0.898837933679352,0.584882402705492
"Rv0045c","Rv0045c",5.5370194785304,10.3668257961212,0.885681737676998,7.75618281576484,7.62782856270439,7.09038043450355,8.39728214174517,1.30690170724162,6.78926666597895,2.84316513388016,0.449021210264294,0,0.000230634196319413,0.885451103480678,0.953943565828421
"Rv0046c","Rv0046c",6.6618111089863,12.2273852245884,1.00237464531464,9.64292830867125,9.71719518557173,8.95488560329315,10.3554418531261,1.40055624983293,6.79023290634033,2.78483603493177,-0.253934209507813,0,0.0315235570870492,0.970851088227595,0.985236488719151
"Rv0047c","Rv0047c",5.773758295443,13.4989718481577,1.28108041399278,9.29030719100372,9.10158157770104,8.44326115297629,10.2248786655144,1.78161751253815,6.78628653147917,2.97371342472114,0.372999329729332,0,0.328294050783315,0.952786363209462,1.28200698241542
"Rv0048c","Rv0048c",4.18609328976765,8.57925768244254,0.716537230476711,6.49456804971653,6.35881376509444,6.07819728164947,7.03194053962003,0.953743257970558,6.78965051002484,3.27145042146998,0.286751641375248,0,-0.176728823128652,0.893266053605362,0.77698410850345
"Rv0049","Rv0049",6.31354284810932,10.5556383815357,0.611460110156327,8.80770960270996,8.75698405353558,8.45354173548766,9.13155196593793,0.678010230450273,6.79330521516972,3.57809323836142,0.241635329435661,0,-0.318659645172799,0.930119755329126,0.635053286459302
"Rv0050","Rv0050",4.52565847159645,10.3882459280976,0.791606691496605,8.18848706294926,8.1965778979075,7.81108449949116,8.70343335252461,0.89234885303345,6.79082303550652,6.54114693646007,-1.04106118697402,0,-0.110012216731036,0.901618908227641,0.843700714901065
"Rv0051","Rv0051",2.14208474008743,9.60494474529081,0.836735581832694,6.52440351904977,6.67610963550853,6.27877343839334,6.99966536990659,0.720891931513256,6.78651034273055,9.55202141758853,-1.87419051758185,0,-0.0549529082827772,0.891688490115471,0.898760023349324
"Rv0052","Rv0052",2.40965248065884,8.60538990637999,0.721484801438834,6.40469424461401,6.52070095011594,6.0136113510442,6.88470300119456,0.871091650150361,6.78901580813143,5.97604085007665,-1.02765750409857,0,-0.176919222106901,0.898404023545734,0.776793709525201
"Rv0053","Rv0053",5.97097885734956,14.2113029496442,1.11017834063059,9.51633875510143,9.56697505887074,8.80449308131038,10.2420966373396,1.43760355602925,6.78885903498114,3.81747515063322,0.0314348432249604,0,0.145943245293142,0.964235095337447,1.09965617692524
"Rv0054","Rv0054",6.76735945538467,13.353242548048,0.950644597042665,8.99699830754022,8.91661422237905,8.32556161091013,9.52632934205579,1.20076773114565,6.79030891523597,6.10335197984327,1.18600714096537,0,0.0119444918267424,0.938700105215922,0.965657423458844
"Rv0055","Rv0055",4.87449568167891,13.3078946401374,1.19136881842322,9.13526009157415,9.1428312063076,8.36890510973812,9.76987252366983,1.40096741393172,6.78731350324832,4.2566139213785,0.534292390219078,0,0.246143141271347,0.94522567715187,1.19985607290345
"Rv0056","Rv0056",4.26023190936304,12.5961731813125,0.975393968819127,9.25620928470382,9.34189433662645,8.75246302913302,9.81238146449821,1.05991843536519,6.79001991021447,5.69276998395993,-0.377179297753281,0,0.0242915761617236,0.951102392657403,0.978004507793825
"Rv0057","Rv0057",4.46770424182378,12.3591508624011,1.34049518999503,8.10242378275047,7.97561818815056,7.30223586788436,8.97846610214211,1.67623023425775,6.78211848500896,3.28892947670232,0.367911834671028,0,0.442741599985112,0.897753590009917,1.39645453161721
"Rv0058","Rv0058",4.99188367109447,12.2615085730829,0.930007204304487,8.01214943325262,8.11015978111739,7.46510678106253,8.52684975221218,1.06174297114965,6.78898424184546,5.34660264391964,0.318692075751253,0,0.036021817176715,0.893985387127772,0.989734748808817
"Rv0059","Rv0059",2.17098388454994,10.6578391826541,1.18900606189997,6.42300227068218,6.59552204944598,5.58545341053874,7.13546424090393,1.55001083036519,6.77804074364488,3.56691938794508,-0.146737093583925,0,0.291696604765725,0.897309457134249,1.24540953639783
"Rv0060","Rv0060",5.75052260815607,12.5853191219197,0.821055890061676,8.26921785737846,8.22856536370544,7.83833909285513,8.60786975768244,0.769530664827311,6.79089195055008,7.660990047905,1.00730616853863,0,-0.0843537723749188,0.905409662436594,0.869359159257183
"Rv0061c","Rv0061c",6.6939180089997,12.130949276223,0.83727482884218,9.36454279521513,9.3695551388987,8.88378078902022,9.84798865472943,0.964207865709213,6.79170038919331,4.06599013988958,0.0749162561198473,0,-0.119217772031071,0.956492600873251,0.83449515960103
"Rv0062","Rv0062",3.14015844854141,9.31092743099536,1.17729295186754,6.77395813110509,6.81938283477657,5.98061723294877,7.63811205050675,1.65749481755798,6.78012064479044,2.72493846383861,-0.293564008866922,0,0.296473493378716,0.880819458488823,1.25018642501082
"Rv0063","Rv0063",3.42806547010227,8.56075481199758,0.831779795439273,6.26918182428001,6.25415990729401,5.69997594138829,6.95824469826475,1.25826875687645,6.78672143854713,2.84715019042246,-0.28204659806526,0,-0.0755212399210037,0.907301035360277,0.878191691711098
"Rv0063a","Rv0063a",3.23929890116854,13.6695313355599,1.09778934566641,7.79494325841921,7.72057588740543,7.17833678885578,8.39686080965294,1.21852402079717,6.78571755312053,5.20636125800157,0.197763415672196,0,0.21117449396373,0.886614851702683,1.16488742559583
"Rv0064","Rv0064",5.23868651718799,11.6054843624582,0.969148432387172,7.15104729666233,6.97421770711187,6.50733226875915,7.57723804106251,1.06990577230336,6.78698665097356,6.25276432690448,1.43645703811186,0,0.0943677350473924,0.87478069733978,1.04808066667949
"Rv0064A","Rv0064A",0,10.6655504132885,1.01878647598181,5.80278419949144,5.78275358170538,5.27484901555368,6.2829361247671,1.00808710921342,6.77811097729987,9.25818502973432,-0.400504733399065,0.00447427293064877,0.0724512338731289,0.946335242108676,1.02616416550523
"Rv0065","Rv0065",0,9.66769851434817,1.18970637228743,5.95741781954814,5.9042547482567,5.13711055753803,6.97427241263798,1.83716185509996,6.77475996187392,3.46886957074724,-0.179683374542067,0.00111856823266219,0.257272125339815,0.932434246947617,1.21098505697192
"Rv0066c","Rv0066c",5.6763528774029,9.25489379165896,0.603595549876877,7.30380249745107,7.25270404527542,6.93188538385541,7.63994606834974,0.708060684494328,6.79231047472966,3.31841070746179,0.300619216683705,0,-0.271658352240887,0.875253902117764,0.682054579391214
"Rv0067c","Rv0067c",3.37827655883491,9.11474849058042,0.66413899837469,5.40360398523279,5.33740780638294,5.00210227149483,5.71118127330893,0.709079001814102,6.78847734559288,8.31831228790885,1.4339590916129,0,-0.322243603123456,0.986382601498146,0.631469328508645
"Rv0068","Rv0068",2.64520426108515,10.4813900277279,0.962867354137989,4.93826182830631,4.83443173265961,4.34729025713213,5.25931663797382,0.912026380841694,6.77832346495146,10.2014609367032,1.98429483591093,0,-0.0834390389165633,1.04630639305455,0.870273892715538
"Rv0069c","Rv0069c",2.52265403155649,7.85340510612414,0.884312167389694,5.86180101383408,5.92730415547957,5.3224887154242,6.54298613080124,1.22049741537704,6.78387542546676,3.25615996675908,-0.510829644880705,0,-0.0566563911943803,0.940968558584075,0.897056540437721
"Rv0070c","Rv0070c",2.86696067238532,8.31372661156253,0.950278073461401,5.75572659367268,5.71403761931942,5.07418210923897,6.58840472296368,1.51422261372471,6.78181455039163,2.45665991413774,-0.147883573410826,0,-0.000368290547354655,0.950646364008755,0.953344641084747
"Rv0071","Rv0071",0,8.01676564480273,0.970202336145,4.27426525418129,4.11161206519299,3.55656037553001,4.94662295932526,1.39006258379525,6.77002638075293,3.70683666787026,0.550095980134979,0.00111856823266219,-0.154809717646446,1.12501205379145,0.798903213985656
"Rv0072","Rv0072",5.0344640395118,10.9510784453893,0.821827284648607,7.98572035399771,8.0974820655007,7.59747305703484,8.50481192946095,0.907338872426102,6.79021809746601,4.45839702238263,-0.829108266490318,0,-0.071124317900071,0.892951602548678,0.882588613732031
"Rv0073","Rv0073",3.29896466200212,9.99859576102459,0.947078366604672,8.05664556428688,8.33003562603107,7.77729005678639,8.63980554098945,0.862515484203063,6.78811437169908,7.68266240734537,-1.92310529077386,0,0.0512782532565503,0.895800113348121,1.00499118488865
"Rv0074","Rv0074",3.36787835961694,8.49093220564985,0.798578044181645,6.93163755860958,7.1283880432844,6.6576330028583,7.4193558964362,0.761722893577907,6.78857345014729,5.90274198214485,-1.53938345113358,0,-0.0781400089319852,0.87671805311363,0.875572922700116
"Rv0075","Rv0075",3.98742757175865,10.002122042933,0.720289595803762,6.95127880407122,7.03344418278328,6.57377532348041,7.39402382994516,0.820248506464752,6.79019962896166,4.65823243393336,-0.508202251017348,0,-0.156096164919251,0.876385760723013,0.797616766712851
"Rv0076c","Rv0076c",2.50646367275963,13.3346287616352,1.55637691670801,6.3425689001357,6.32322299192561,5.11340536590885,7.25357563143796,2.14017026552911,6.76696160897823,5.106761501797,1.02465641364328,0,0.65407058466661,0.902306332041396,1.60778351629871
"Rv0077c","Rv0077c",2.12690554173794,15.2793278145291,1.95473122792464,5.28337425935438,4.84520213434486,4.25263246556835,5.75620431038743,1.50357184481908,6.73763762439375,8.67992199087633,2.16751357444573,0,0.953375824694538,1.0013554032301,1.90708875632664
